log started
processed 2890000 loci, wrote 87251 loci
processed 2900000 loci, wrote 87497 loci
processed 2910000 loci, wrote 87733 loci
processed 2920000 loci, wrote 87981 loci
processed 2930000 loci, wrote 88250 loci
processed 2940000 loci, wrote 88490 loci
processed 2950000 loci, wrote 88759 loci
processed 2960000 loci, wrote 88998 loci
processed 2970000 loci, wrote 89280 loci
processed 2980000 loci, wrote 89545 loci
processed 2990000 loci, wrote 89795 loci
processed 3000000 loci, wrote 90057 loci
processed 3010000 loci, wrote 90336 loci
processed 3020000 loci, wrote 90593 loci
processed 3030000 loci, wrote 90846 loci
processed 3040000 loci, wrote 91117 loci
processed 3050000 loci, wrote 91442 loci
processed 3060000 loci, wrote 91736 loci
processed 3070000 loci, wrote 92019 loci
processed 3080000 loci, wrote 92292 loci
processed 3090000 loci, wrote 92595 loci
processed 3100000 loci, wrote 92889 loci
processed 3110000 loci, wrote 93196 loci
processed 3120000 loci, wrote 93512 loci
processed 3130000 loci, wrote 93822 loci
processed 3140000 loci, wrote 94135 loci
processed 3150000 loci, wrote 94438 loci
processed 3160000 loci, wrote 94755 loci
processed 3170000 loci, wrote 95045 loci
processed 3180000 loci, wrote 95363 loci
processed 3190000 loci, wrote 95829 loci
processed 3200000 loci, wrote 96285 loci
processed 3210000 loci, wrote 96705 loci
processed 3220000 loci, wrote 97143 loci
processed 3230000 loci, wrote 97604 loci
processed 3240000 loci, wrote 98017 loci
processed 3250000 loci, wrote 98443 loci
processed 3260000 loci, wrote 98864 loci
processed 3270000 loci, wrote 99283 loci
processed 3280000 loci, wrote 99738 loci
processed 3290000 loci, wrote 100130 loci
processed 3300000 loci, wrote 100528 loci
processed 3310000 loci, wrote 100975 loci
processed 3320000 loci, wrote 101397 loci
processed 3330000 loci, wrote 101847 loci
processed 3340000 loci, wrote 102330 loci
processed 3350000 loci, wrote 102782 loci
processed 3360000 loci, wrote 103186 loci
processed 3370000 loci, wrote 103640 loci
processed 3380000 loci, wrote 104113 loci
processed 3390000 loci, wrote 104573 loci
processed 3400000 loci, wrote 105024 loci
processed 3410000 loci, wrote 105454 loci
processed 3420000 loci, wrote 105886 loci
processed 3430000 loci, wrote 106311 loci
processed 3440000 loci, wrote 106732 loci
processed 3450000 loci, wrote 107154 loci
processed 3460000 loci, wrote 107629 loci
processed 3470000 loci, wrote 108058 loci
processed 3480000 loci, wrote 108490 loci
processed 3490000 loci, wrote 108897 loci
processed 3500000 loci, wrote 109361 loci
processed 3510000 loci, wrote 109780 loci
